id,label,user,timestamp,text,reviewer1,reviewer2,reviewer3,reviewer4,reviewer5
176,0,dk,4/11/2007 3:40,Testers are strange creatures. They enter wrong data and expect correct results. How? I’m not doing an artificial intelligence system.,neg,neg,neg,neg,pos
178,0,dontplaytheodds,10/3/2008 7:58,"dad bought a book on ""Artificial Intelligence"" from the local raddiwala... its was printed in 1986 a year before my birth !! Dad WHY??",neg,neg,neg,neg,neg
179,0,dr_dappleton,10/31/2015 23:37,Artificial Intelligence or Real Stupidity ? #ArtificialIntelligence,neg,neg,neg,neg,neg
185,0,DrPeterDrake,5/6/2011 22:00,"Judging by the final exam, my artificial intelligence class has some ... interesting ... ideas about the Singularity.",neu,neg,pos,neu,neg
192,0,EdSurge,1/14/2019 23:29,"Will #AI replace your job? It's possible. Read up on what Kai Fu Lee, a pioneer in artificial intelligence and a guest on #60Minutes this past weekend, thinks. http://bit.ly/2QOx1NZ  #edtechchat",neg,neg,neg,neg,neg
194,0,Egorgeg,12/26/2011 19:47,http://Cleverbot.com  - a useless bot - speak to an AI with No Intelligence? At http://cleverbot.com/  you can!,neu,neu,neg,neg,neu
199,0,Elexonic,4/7/2013 21:20,Can this machine replace man? Wellframe's new app brings artificial intelligence to the doctor's office.Dozens... http://bit.ly/10vyZnW ,neg,neg,neu,neg,neg
3,0,_quantum_fx,5/24/2018 23:40,"Google Employees Resign In Protest Of Pentagon AI Project 

(Jay Syrmopoulos) At least a dozen Google employees have resigned in protest over the company collaborating with the Department of Defense by supplying artificial intelligence for a controversia… https://stillnessinthestorm.com/2018/05/google-employees-resign-in-protest-of-pentagon-ai-project/ …",neu,neu,neu,neu,neu
5,1,1theja,12/26/2011 23:42,"Fuzzy Neural Network Theory and Application (Series in Machine Perception and Artificial Intelligence, Vol. 59) 821.. http://bit.ly/sKQw3B ",neu,neu,neu,neu,neu
8,1,73II3787,5/6/2011 19:16,Unthinking Machines: An artificial intelligence panel discussion at the Massachusetts Institute of Technology's ... http://bit.ly/k2HdnD,neu,neu,neu,pos,neu
10,1,8xxxvideos,9/14/2010 20:55,"How to Trade the Forex, Get Free Forex Training and Forex Artificial Intelligence: Without question or hesitation,... http://bit.ly/c7BIic",neu,pos,neu,neu,pos
13,1,about_ai,1/22/2010 23:05,AboutAI.info: Artificial Intelligence Full Movie Online part 1 HD http://bit.ly/7rY2qx,neu,neu,neu,neu,neu
14,1,adamfalat,10/31/2015 23:06,18 artificial intelligence researchers reveal the profound changes coming to our lives http://buff.ly/1jZkNCy  #AI pic.twitter.com/nmqg5IsfXa,pos,pos,neg,pos,neg
16,1,adeboyeBGO,1/14/2019 23:36,"The race to become the global leader in artificial intelligence (AI) has is among the following countries Canada, China, Denmark, the EU Commission, Finland, France, India, Italy, Japan, Mexico, the Nordic-Baltic region, Singapore, South Korea, Sweden, Taiwan, the UAE, and the UK",pos,pos,pos,neu,pos
21,1,Ai_Consulting_,1/14/2019 23:35,"Artificial Intelligence ""Glass Box,"" In-Store Personalization - EcommerceBytes https://www.ecommercebytes.com/2019/01/12/artificial-intelligence-glass-box-in-store-personalization/ …",neu,neu,neg,neu,pos
22,1,ai_katerina,11/27/2013 19:33,About Stratfor: Intelligence vs. Journalism http://shar.es/D2HqY  via @stratfor,neu,neu,neu,neu,neu
23,1,AI_Today,3/11/2015 22:12,#AI 'Our artificial intelligence engine is running with the content of what Barbie can say. That AI engine's job is… http://goo.gl/fb/fvGYBY ,neu,pos,pos,neu,pos
25,1,AInewsblog,3/11/2015 22:54,Deep Learning: Changing the Playing Field of Artificial Intelligence – MaRS Global Leadership – MaRS http://dlvr.it/8wjCQS ,pos,pos,neu,pos,neu
27,1,AIntellig,12/26/2011 21:48,The internet gets physical: The project — a research effort so far — uses a bundle of artificial intelligence te...  http://bit.ly/ilesGA ,pos,pos,pos,pos,pos
29,1,AIWatch,5/6/2011 16:00,Artificial intelligence and humanity: Mechanical minds - The Economist http://bit.ly/jr2z3q #ai,neu,neu,neu,neg,neu
30,1,akash_nu,5/6/2011 21:50,"Artificial Intelligence, beginning or the end?: http://mytechandspace.blogspot.com/2010/07/artificial-intelligence-is-it-beginning.html",neg,neg,neu,neg,neg
32,1,Aldringhambooks,1/14/2019 23:55,Life 3.0: Being Human in the Age of Artificial Intelligence. By Max Tegmark http://amzn.to/2essuUn ,neu,neu,neu,neu,pos
34,1,AlexLiu708,12/26/2011 23:06,CFP: #RAISE12: Workshop on Realizing Artificial Intelligence Synergies in Software Engineering (http://promisedata.org/raise/2012 ),neu,neu,neu,neu,neu
35,2,alexmlynek,6/1/2009 21:30,ooh. Artificial intelligence + emotive music = end to repetitive copyrighted canned music? http://bit.ly/zLQKM,pos,neu,pos,pos,pos
39,1,amar2k7,12/26/2011 18:37,"Looking for a SSE/Lead profile - Artificial Intelligence /Machine Learning in Noida, India http://bull.hn/l/6ZCN/  #job",neu,neu,neu,neu,neu
40,1,Amazonthings,4/7/2013 18:44,scar Artificial Intelligence Illuminated: Artificial Intelligence Illuminated Presents An Overview Of The Back... http://adf.ly/MURuF ,neu,neu,neu,neu,neu
42,1,AnalystSantiago,10/2/2017 23:47,Artificial Intelligence and the Role of Workers.  https://insights.samsung.com/2017/05/04/artificial-intelligence-and-the-role-of-workers/?utm_content=bufferfbc59&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer …,neg,neu,neg,neu,neu
43,1,Anders_Quitzau,11/27/2013 19:32,Can Artificial Intelligence Like IBM's Watson Do Investigative Journalism?  (via@IBMvoices) http://www.fastcolabs.com/3021545/can-artificial-intelligence-like-ibms-watson-do-investigative-journalism … #ibmwatson,neg,neg,neg,neg,neg
44,1,AndreasSchepers,2/18/2008 10:42,"German Research Center For Artificial Intelligence, K-Town. Preparing CeBIT 2008.",neu,neu,neu,neu,neu
46,1,ANN_AmNextNet,3/11/2015 23:29,"A Robot with Feelings, a Film Without Much of Them: Deon soon creates a prototype artificial intelligence that... http://bit.ly/1AlyfR4 ",pos,neg,neg,pos,neu
49,1,AntiRacismTv,11/27/2013 23:03,Facebook Has A New Artificial Intelligence Unit And Is Working On Speech Recognition http://fb.me/6jBU83XJV ,neg,neg,pos,neu,neu
52,1,areyesnav,8/16/2012 18:35,CS188.1x Artificial Intelligence through @edxonline: http://www.edx.org/courses/BerkeleyX/CS188.1x/2012_Fall/about … cc @cvander @freddier @neosergio,neu,neu,neu,pos,neu
55,1,arstechnica,3/7/2007 22:45,[Opposable Thumbs] Artificial intelligence: the rise of the drivatar - http://tinyurl.com/2ykmcv,neu,neu,pos,neu,neu
56,1,artintelmonitor,7/19/2014 23:53,Artificial Intelligence Monitor is out! http://paper.li/artintelmonitor/1387677063 … Stories via @hertling,neu,neu,pos,pos,neu
60,1,asiergomez,1/22/2010 19:35,Is #Google looking for the Artificial Intelligence..?  http://ow.ly/Z7ZE,neu,neu,neu,neu,neu
63,1,atsuro_enbot,10/2/2017 23:39,"I've always wondered if I could make an AI... you know, Atsuro Intelligence!",neu,neu,neu,neu,neu
65,0,awesome_inc,6/21/2016 23:45,Students enrolled in Georgia Tech's Artificial Intelligence Course didn’t know their TA was a computer http://buff.ly/28MOILD ,neg,pos,neg,pos,pos
66,1,badc0da,10/2/2017 23:53,"""Oracle Infuses its Cloud Applications with Artificial Intelligence"" http://link.engage.social/linkz/s9ad5wce54fycw1ad9e/t6/piGwS?utm_source=NewzSocial&utm_medium=Social&utm_campaign=Twitter&utm_term=255 …",neu,neu,neu,neu,neg
69,1,bassdrive,10/6/2008 11:09,Fat Freddy's Drop - Cay's Crays (Artificial Intelligence remix),neu,neu,neu,neu,neu
70,0,bclooney5,5/6/2011 14:59,"Artificial Intelligence Versus The Machine: ""Human beings like to think of themselves as possess... http://bit.ly/mChpNO via myBantu.com",neg,neg,pos,pos,neg
71,1,BDechart_TEAM,5/24/2018 23:33,"RT @BryanDechart: If you were a Programmer tasked with teaching Artificial Intelligence how to play a videogame, which game would you teach the Android to play?",pos,pos,neg,pos,neu
74,1,beep_bot1,5/24/2018 23:45,Artificial Intelligence Laboratory unveiled the Sawyer Software Development Kit designed for taking out UAVs.,neu,neu,neu,neg,neu
75,0,benakiva,3/11/2015 22:41,Real #AI threat: Artificial Intelligence and Labor | HASTAC http://www.hastac.org/blogs/jason-hu/2015/03/10/artificial-intelligence-and-labor#.VQDEZ4YC9g0.twitter …,neu,neu,neg,neu,neg
77,2,benlazmah,5/24/2018 23:23,Using machine learning to see inside live human cells | Artificial Intelligence Research http://www.onartificialintelligence.com/articles/14301/using-machine-learning-to-see-inside-live-human-cells?stv1=1%3A316128%3A12969 … #AI via @onAIresearch,pos,neu,pos,pos,pos
79,1,Bessnha,12/26/2011 23:49,Data Mining In Time Series Databases (Series in Machine Perception and Artificial Intelligence) 8211 Mark Last Abra.. error: either unsuppor,neu,neu,neu,neu,neu
80,1,Bestforsmallbiz,8/16/2012 18:00,"Today In 1988, IBM introduced software for artificial intelligence.",pos,pos,pos,pos,neu
82,1,BIGLOBAL1,1/14/2019 23:43,"Access to an Artificial Intelligence System.
#BIGlobal #BIGlobalConnectpic.twitter.com/3TlxkbazcS",neu,neu,neu,neu,neu
87,1,BiznessBounce,3/11/2015 21:27,Cutting-Edge Artificial Intelligence http://bit.ly/Uh7O1I  #technology #Entrepreneur #Business #StartUp #podcast,pos,neu,pos,neu,neu
89,1,BlackBoxBeacon,1/22/2010 19:05,Q:,neu,neu,neu,neu,neu
91,1,blogtechmundu,1/14/2019 23:21,The Impact of Artificial Intelligence on Enterprise Mobility  http://snip.ly/addt74 ,pos,pos,neu,pos,pos
92,1,bloopish,3/11/2015 21:55,How enterprises can use artificial intelligence @itworld #ArtificialIntelligence thx http://bloopish.com  http://ow.ly/JGJjK ,pos,pos,pos,pos,pos
93,1,bluechennells8,4/7/2013 18:35,BBC News - A Point of View: Chess and 18th Century artificial intelligence http://bbc.in/YudQL0 ,neu,pos,neu,pos,neu
95,1,BobbySchmitt,2/6/2008 3:09,"I just finished chapter XVIII: Artificial Intelligence: Retrospects in Godel, Escher, Bach.",neu,neu,pos,neu,neu
97,1,bpalanov,5/24/2018 23:45,"Are you ready for #AI #marketing? We've recently announced the Iterable Intelligence Suite with send time, channel & frequency optimization. @Iterable #activate18 http://bit.ly/2IIO7xx pic.twitter.com/NPcnYsSuGj",neu,neu,neu,neu,neu
98,1,bpanulla,4/6/2007 15:20,"Attending talk by Michael Mateas, visiting speaker from UCSC, on design and artificial intelligence in Cyber-torium.",neu,pos,pos,neu,pos
100,0,brackemfg,11/27/2013 16:02,"Artificial intelligence, spectrum warfare, and DOD Mothball Strategy this week on Rapid Fire http://dld.bz/cW7U7 ",neg,neg,pos,neu,neg
105,1,BrucePetillo,10/2/2017 23:34,Marketers need to embrace artificial intelligence https://buff.ly/2g2gQNK ,pos,pos,neu,neu,pos
106,1,BullionAinslie,1/14/2019 23:37,"Ainslie Intelligence, Weekly Digest. AI Trading Signals.: http://youtu.be/KeL2JaFc4EM?a  via @YouTube",neu,neu,neu,neu,neu
111,2,carlesdijous,9/14/2010 12:36,Football Playing Robots Have Future Of Artificial Intelligence.  http://bit.ly/ds1QG0  #robots #ai,neg,neu,neg,pos,pos
113,1,Castleberrylmg,11/27/2013 16:59,Artificial Intelligence at Fluid Nightclub 2 http://su.pr/9l1c4d  #travel,pos,neu,neu,pos,neu
114,1,caufieldhouse,6/2/2009 9:05,"Never Seen Before and Totally Unheard Of 100 Accurate Artificial Intelligence Forex Trading Signals
Get MORE INFO, CL... http://twt.gs/ctz2h",neg,neu,neu,neu,neu
115,2,CestLaVieJulie,2/10/2017 23:48,Artificial Intelligence Tools That Will Transform Your B2B Marketing Operations http://dlvr.it/NLX3SV  #content,neu,neu,neu,pos,neu
117,1,ch4rma_net,5/24/2018 23:27,Artificial Intelligence in the Enterprise https://threatvector.cylance.com/en_us/home/artificial-intelligence-in-the-enterprise.html …,neu,neu,neu,neu,neu
118,1,chadthomasmedia,10/31/2015 23:45,Artificial Intelligence Website Development Platform - The Grid https://thegrid.io/  #AI #webdesign #seo,neu,neu,neu,neu,neu
122,0,CHenryAuthor,7/19/2014 23:35,Artificial Intelligence - We Had Better Start Thinking About it Now! http://pinterest.com/pin/528258231265257721/ …,neg,pos,pos,pos,neg
123,0,chescamia,6/2/2009 5:24,"A.I. Artificial Intelligence.
Fuk I teard. 
Haha",neu,neu,neu,neu,neu
125,0,chiefsucker,1/30/2007 9:15,Artificial Intelligence... when does it stop boy?,neg,neg,neg,neg,neu
127,1,ChileEconomy,1/14/2019 23:36,LiLy An Artificial Intelligence Robot - Chile Economy Mashup https://mashup.chileeconomy.com/2019/01/14/lily-an-artificial-intelligence-robot/ …,neg,pos,pos,neg,pos
130,1,chrbutler,10/8/2008 12:51,Working on some interview questions. What would you ask a futurist about artificial intelligence?,pos,pos,pos,pos,neu
131,1,chrisacampbell,3/27/2007 17:59,"Reading: Numenta - Has Artificial Intelligence Arrived? 
http://tinyurl.com/3c9a2x",neu,neu,neu,neu,neu
134,1,ChristyHamilto2,12/26/2011 23:09,Innovations in Applied Artificial Intelligence: 18th International Conference on Industrial and Engineering Appl... http://krz.ch/B_f5 ,neu,neu,neu,pos,neu
135,1,cindyslim,1/22/2010 21:02,"Artificial Intelligence: A Modern Approach (3rd Edition) (Hardcover) newly tagged ""games"":               Artificia... http://bit.ly/5WdSeT",neu,neu,neu,neu,neu
137,1,CityTechGroup,8/16/2012 18:01,Today in History: In 1988 IBM introduced software for artificial intelligence.,pos,pos,neu,pos,neu
139,1,Cleanse_Colon,1/22/2010 20:14,"#games Artificial Intelligence: A Modern Approach (3rd Edition) (Hardcover) newly tagged "" games"" http://bit.ly/6ddDBY",neu,neu,neu,neu,neu
140,1,cleverappdesign,6/21/2016 23:50,Artificial intelligence is changing SEO faster than you think!! http://ow.ly/MULA301v2ga   via @TechCrunch #artificialintelligence #SEO,pos,pos,pos,neg,pos
142,1,cobb3_2054,10/31/2015 23:15,TRAILER: Free Symposia Exposing Off-planet Predatory AI Artificial Intelligence http://youtu.be/psMkUDaDOoA ,neg,neg,pos,neg,neu
144,1,conifermemories,3/11/2015 21:45,CHAPPiE and the Architecture of Artificial Intelligence http://buff.ly/1aYRj2V ,pos,pos,pos,pos,pos
145,1,Consiliera,10/11/2008 18:38,Artificial intelligence put to the Turing Test - Software - Breaking Business and Technology News at s.. http://tinyurl.com/3v4t5t,pos,pos,pos,pos,pos
146,1,contentAI,9/14/2010 18:53,Pop Tart BLT http://bit.ly/btiR8L | A diversion from artificial intelligence or step in the same direction,pos,neu,pos,neg,pos
148,0,coolcatteacher,2/16/2008 20:14,"@bbctech ""Machines will achieve human level artificial intelligence by 2029, a leading US inventor predicts. http://tinyurl.com/ys9feo""",neg,neg,neg,neg,neg
150,0,CoryFry,6/2/2009 18:49,Does artificial intelligence fit in Workplace Health & Wellness? http://thinkcos.wordpress.com/,neg,neu,neu,neg,neg
151,2,cricque,6/1/2009 20:10,Thinking about building a mechanical hare-like creature with artificial intelligence and infrared vision. I will call it the Rabbot®.,neu,neu,pos,pos,neu
156,0,D3EKSHA,5/24/2018 23:30,"Artificial intelligence &#8211; is the UK ready, willing and able to invest? &#8211; Investment Week... http://bit.ly/2ILHkPP  via @AnalyticsWeek #datalive",pos,pos,pos,neu,pos
157,1,dalailamerita,12/26/2011 17:15,WHAT IS ARTIFICIAL INTELLIGENCE?: http://bit.ly/leu3oZ  #AI,neg,neg,neg,neu,neg
158,1,DaneishaCrown,10/31/2015 23:50,Custom Design Portable Laptop handbag With Artificial Intelligence Ai Black Neoprene  http://goo.gl/FxsEp1 pic.twitter.com/IsSmdjy90C,neu,neu,neu,neu,neu
161,0,daveyp,6/24/2007 9:30,and artificial education intelligence teaching,neu,neu,neg,neu,neu
162,0,david_enriquez,7/19/2014 21:19,Hugo de Garis - We had better start thinking about artificial intelligence now | Machines Like Us http://fb.me/2M5M8sAQS ,pos,neu,neg,neg,neu
163,1,David_N_Wilson,1/22/2010 16:36,@techherding Isn't that like...artificial intelligence?,neu,neu,neu,neu,neu
164,0,DavidJamesJnr,1/14/2019 23:46,"Japan does an experiment with Artificial Intelligence, surveillance data, computer database data, and #surveillance cameras to recreate the all knowing and all seeing Machine from the TV Show Person of interest http://the-japan-news.com/news/article/0005472410 … #Samaritan #AI #ArtificialIntelligence #Japan",neg,neg,neu,neg,neg
166,1,DCISLAB,1/22/2010 17:38,IDC 2008 artificial intelligence http://www.d-cis.nl/index.php/d-cis-events/public-events/idc-2008,neu,neu,neu,neu,neu
169,1,defYenLight,10/2/2017 23:56,Artificial Intelligence Is Our Future. But Will It Save Or Destroy Humanity? http://changelifediet.com/artificial-intelligence-is-our-future-but-will-it-save-or-destroy-humanity/ …,neg,neg,pos,neg,pos
170,1,delicious_prog,10/5/2008 2:15,"Genetic programming tutorial interactive tutorials, mainly from the area of artificial intelligence http://tinyurl.com/4f45ef",neu,neu,neu,pos,neu
171,0,DenzelAy,4/7/2013 23:26,"It's the Brooklyn representative, no artificial intelligence
Just thinking, enlightening, ain't even take flight yet",neu,neu,neu,neu,neu
172,1,Designspeaks,6/2/2009 22:14,"Zoom: Fast Company on Web 3.0, artificial intelligence, and Nova Spivak's Delicious-killer Twine (Digg... on Ritalin?). http://bit.ly/39WOaF",neu,neu,neg,neu,neu
173,1,detox2012,9/14/2010 15:20,Ai,neu,neu,neu,neu,neu
174,2,digitake,1/22/2010 20:08,Anyone who interested in argumentation in artificial intelligence out there?,neu,pos,neu,neu,neu
177,1,docartemis,2/16/2008 12:12,New blog post: How Philosophy of Mind influences Artificial Intelligence http://tinyurl.com/393wgs,neu,pos,pos,pos,pos
180,2,DrCodyFaeth,9/14/2010 16:59,Was he wearing Tevas? RT @ntiller @DrCodyFaeth Had a dream your pa was presenting at an Artificial Intelligence conference I was at. Weird.,neu,neg,neu,neu,pos
183,1,drmethod,1/14/2019 23:21,... so question???? What do you all think about Artificial Intelligence?,neu,neu,neu,neu,neu
184,1,DrMTempest,5/24/2018 23:41,"How was Artificial Intelligence born? How will #AI evolve and affect the future of life, including healthcare? https://www.healthcare.digital/single-post/2018/05/24/How-was-Artificial-Intelligence-born-How-will-AI-evolve-and-affect-the-future-of-life-including-healthcare …",pos,pos,neu,neu,neu
187,1,dstidings,5/24/2018 23:56,How is Artificial Intelligence Changing Science? http://datasciencetidings.com/how-is-artificial-intelligence-changing-science/ …pic.twitter.com/VaqMM7h4ey,neu,neu,neu,neg,pos
188,1,Dutchcowboy,5/2/2007 20:19,ever heard of artificial artificial intelligence? http://www.mturk.com/mturk/welcome,neu,neu,neg,neg,neg
189,1,DVyo,8/16/2012 20:45,Neuroevolution: an alternative route to Artificial #intelligence | Randal ... - http://ow.ly/cZmH9 ,neu,pos,pos,neg,neu
191,0,EdelOMahony,6/21/2016 23:37,When we come to the clarity of understanding the ego as an artificial intelligence that feeds on illusional... http://fb.me/5awzETMnQ ,neg,neg,neu,neg,neu
195,1,Egybayo,5/6/2011 23:15,#BakrahElMidterms !!! 3andy tomorrow Exam Artificial Intelligence rabena yostor !!! :D,neg,neg,neg,neg,neg
196,1,eightfoldai,1/14/2019 23:17,"A Talent Intelligence Platform goes far beyond what other technologies can do. It works with your #ATS and #HRIS to become the engine for #hiring, internal mobility, workforce #diversity, and engagement. Read the whitepaper! http://bit.ly/2RLxzc5 
#AI #talentmanagement #HRpic.twitter.com/7EVvTHZ7C6",neu,neu,neu,neu,neu
198,1,Elance_Web,9/14/2010 18:24,#Programming Email Dialog System | Elance Job: Want to develop or purchase a form of artificial intelligence Dialo... http://bit.ly/cGv7q4,neu,neu,neg,neu,neu
200,2,Ella_Stewart,5/6/2011 22:05,"Just watched A.I. Artificial Intelligence,
& cried... Alot. I love a movie that makes me hate it bcus it makes me cry.
That made sense to me",neu,neu,neu,neu,neu
4,2,_timos_,5/24/2018 23:27,FDA permits marketing of artificial intelligence algorithm for aiding providers in detecting wrist fractures http://dlvr.it/QV111z  http://lqventures.com ,pos,pos,pos,pos,pos
6,2,2045singularity,7/19/2014 22:12,#intelligence Tech Times Microsoft's Project Adam can perform recognition tasks faster than any existing AI Tech… http://goo.gl/fb/BZwX2E ,neg,pos,neg,pos,pos
7,2,2m0sql,1/30/2008 0:44,"Off to bed, got artificial intelligence & graphics programming class this morning.",neu,pos,pos,neu,pos
11,2,AAPLFTW,5/6/2011 15:35,#TechnoBuffalo Japanese Figure Out How to Transmit French Kiss: I rewatched A.I. Artificial Intelligence not tha... http://bit.ly/iuA3S4,neu,pos,pos,pos,neg
12,2,Abbylester1,10/2/2017 23:56,Getting big data right | CIO https://www.dub.io/tw/31299206  #analytics #artificial_intelligence pic.twitter.com/i10EM1JXEF,neu,neu,neu,neu,neu
17,2,AdvancingRetail,2/10/2017 23:43,"How artificial intelligence is powering retail customer experience @ComputerWeekly http://www.computerweekly.com/feature/How-artificial-intelligence-is-powering-retail-customer-experience … via @DeepLearn007
#AI #retail",neu,neu,neu,neu,neu
19,2,agentker,9/30/2008 20:18,The impact of science fiction on the creation and development of artificial intelligence and,pos,pos,pos,pos,pos
