token	alt.atheism	comp.graphics	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware	comp.sys.mac.hardware	comp.windows.x	misc.forsale	rec.autos	rec.motorcycles	rec.sport.baseball	rec.sport.hockey	sci.crypt	sci.electronics	sci.med	sci.space	soc.religion.christian	talk.politics.guns	talk.politics.mideast	talk.politics.misc	talk.religion.misc	
1993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<1993Apr14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<1993Apr15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<1993Apr16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<1993Apr19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<1993Apr20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<1993Apr21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<1993Apr22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<1993Apr5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<930421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<Political	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<healta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<kmr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<kutluk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<markp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
<mathew@mantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
=	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
================================================================================	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
>>	0.01	0	0	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0	0.01	0.01	0.01	0.01	
>>=	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
>>>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	
>>>>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
>>>>>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
>>From	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
>But	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
>I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
>In	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
>The	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
>You	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
>and	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
>it	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
>that	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
>the	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
>to	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
>what	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ALL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
After	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
All	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Allah	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Allan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
An	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
And	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Apr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Arizona	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Arromdee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
As	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
At	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Atheism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Atheists	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BCCI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BTW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bake	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Baysian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Beauchaine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Benedikt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bill	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bobby	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Boy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
But	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
By	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
COM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
COM>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CWRU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
California	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Can	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Christ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Christian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Christianity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Christians	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Christmas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cobb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
College	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Computer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Conner	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Date	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dave	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
David	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dean	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Department	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dept	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Distribution	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Don	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dwyer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
EDU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
EDU>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Earth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
East	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Einstein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ezekiel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
FAQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
FOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
For	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Frank	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
From	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
GMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
GO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
GOD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Germany	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
God	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Good	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gregg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gulf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HELL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Halat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Hausmann	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
He	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Healy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Here	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
How	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
However	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ht	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
I	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	
I3150101@dbstu1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ICO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
IN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
IS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
If	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Illinois	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
In	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
In-Reply-To	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Inc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Institute	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Is	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Islam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Islamic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
It	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
J	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jaeger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
James	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jesus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jewish	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jim	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
John	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Keith	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ken	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Kent	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Keywords	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Khomeini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
King	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Koran	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Koresh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
LSD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leftover	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lippard	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Livesey	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lucifer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
M	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Maddi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Maybe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Message-ID	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mike	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mohamed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Morality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mozumder	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Munch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Muslim	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
My	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NNTP-Posting-Host	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NOT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
News	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Newsgroups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Nntp-Posting-Host	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Now	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
O	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
On	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
One	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Or	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Organization	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Pasadena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Path	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
People	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Physics	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Please	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Pundurs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Qur	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Quran	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Rawlins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Razor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Re	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
References	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Reply-To	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Research	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Robert	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Rushdie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ryan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Sandvik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Satan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Schneider	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Science	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Sender	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Shamim	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Simon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
So	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Sorry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Stalin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
State	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Stilgar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Subject	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Sun	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
System	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TEK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Tammy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Technology	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
That	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
The	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	
Then	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
There	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Therefore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
These	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
They	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
This	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Timmons	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
To	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Tue	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
